order_id,order_date,region,category,amount
ORD-000075,2025-04-16,Gwangju,Electronics,1879087
ORD-000076,2025-02-02,Incheon,Beauty,932170
ORD-000077,2025-04-12,Seoul,Food,538200
ORD-000078,2025-03-28,Busan,Food,68756
ORD-000079,2025-04-27,Busan,Food,244631
ORD-000080,2025-05-01,Daegu,Food,1473333
ORD-000081,2025-01-24,Gwangju,Electronics,175540
ORD-000082,2025-02-01,Daegu,Food,932764
ORD-000083,2025-01-11,Gwangju,Food,232696
ORD-000084,2025-02-04,Incheon,Home,150925
ORD-000085,2025-03-18,Daegu,Food,951741
ORD-000086,2025-01-13,Daegu,Beauty,1357785
ORD-000087,2025-02-26,Gwangju,Electronics,1994390
ORD-000088,2025-01-30,Daegu,Food,545460
ORD-000089,2025-02-27,Busan,Fashion,475248
ORD-000090,2025-04-19,Busan,Electronics,2803160
ORD-000091,2025-03-08,Seoul,Electronics,750672
ORD-000092,2025-02-28,Daegu,Beauty,1783085
ORD-000093,2025-01-17,Incheon,Home,73774
ORD-000094,2025-04-17,Gwangju,Beauty,2100528
ORD-000095,2025-01-17,Gwangju,Beauty,442680
ORD-000096,2025-03-19,Seoul,Beauty,1955655
ORD-000098,2025-01-15,Gwangju,Beauty,1891256
ORD-000099,2025-03-15,,Food,167070
ORD-000100,2025-04-08,Busan,Home,65142
ORD-000101,2025-03-21,Seoul,Food,97710912
ORD-000102,2025-03-28,Incheon,Beauty,445124
ORD-000103,2025-02-20,Gwangju,Home,492011
ORD-000104,2025-04-12,Incheon,Fashion,616024
ORD-000105,2025-01-13,Incheon,Beauty,364994
ORD-000106,2025-02-28,Incheon,Electronics,624658
ORD-000107,2025-03-03,Incheon,Beauty,716208
ORD-000108,2025-04-03,Daegu,Electronics,341915
ORD-000109,2025-02-08,,Fashion,597762
ORD-000110,2025-01-21,Daegu,Home,355390
ORD-000111,2025-03-29,Seoul,Home,1143324
ORD-000112,2025-02-23,Gwangju,Beauty,212532
ORD-000113,2025-03-29,Incheon,Fashion,456948
ORD-000114,2025-05-01,Busan,Food,2213144
ORD-000115,2025-01-28,Busan,Beauty,371105782
ORD-000116,2025-04-10,Seoul,Fashion,2323760
ORD-000117,2025-03-07,Busan,Fashion,26036
ORD-000118,2025-01-02,Daegu,Electronics,1893046
ORD-000119,2025-01-31,Daegu,Beauty,700568
ORD-000121,2025-04-06,Busan,Electronics,513980
ORD-000122,2025-04-24,Busan,Home,424902
ORD-000123,2025-04-13,Incheon,Home,1367631
ORD-000124,2025-02-18,Seoul,Food,151820
ORD-000125,2025-02-13,Gwangju,Food,258625
ORD-000126,2025-04-20,Gwangju,Electronics,706541
ORD-000127,2025-03-08,Daegu,Home,1331155
ORD-000128,2025-04-11,Gwangju,Food,864080
ORD-000129,2025-05-01,Busan,Fashion,1307447
ORD-000131,2025-03-19,Gwangju,Electronics,1243305
ORD-000132,2025-04-05,Daegu,Food,255884
ORD-000133,2025-03-14,Incheon,Home,266951
ORD-000134,2025-01-01,Seoul,Beauty,836122
ORD-000135,2025-02-20,Daegu,Beauty,304220
ORD-000136,2025-03-27,Daegu,Fashion,756260
ORD-000137,2025-03-13,Incheon,Electronics,1997768
ORD-000138,2025-03-05,,Beauty,18314
ORD-000139,2025-03-13,Seoul,Electronics,1111192
ORD-000140,2025-04-27,Gwangju,Food,1475308
ORD-000141,2025-04-01,Gwangju,Electronics,187550
ORD-000142,2025-02-17,Gwangju,Fashion,512194
ORD-000143,2025-04-09,Busan,Fashion,639470
ORD-000144,2025-01-20,Incheon,Beauty,74801
ORD-000145,2025-03-29,,Food,2046511
ORD-000146,2025-04-06,Gwangju,Home,2307456
ORD-000147,2025-02-04,Incheon,Fashion,307407
ORD-000148,2025-02-03,Incheon,Electronics,192434
ORD-000149,2025-02-28,Seoul,Fashion,209886
ORD-000150,2025-03-16,Busan,Home,1431055
ORD-000151,2025-03-02,Busan,Fashion,819637
ORD-000152,2025-03-27,Seoul,Fashion,875078
ORD-000153,2025-02-24,Seoul,Food,1567917
ORD-000154,2025-01-30,Seoul,Home,1008610
ORD-000155,2025-03-16,Daegu,Electronics,619380
ORD-000156,2025-03-21,Daegu,Electronics,1170041
ORD-000157,2025-04-11,Seoul,Home,491040
ORD-000158,2025-02-09,Gwangju,Home,1133120
ORD-000159,2025-03-02,,Beauty,1891891
ORD-000160,2025-01-12,Daegu,Food,1153115
ORD-000161,2025-03-10,Seoul,Fashion,789898
ORD-000162,2025-01-14,,Beauty,621528
ORD-000163,2025-04-29,Seoul,Fashion,1031435
ORD-000164,2025-01-18,Daegu,Home,137786
ORD-000166,2025-04-16,Seoul,Food,58998
ORD-000167,2025-03-30,Daegu,Electronics,2118312
ORD-000168,2025-04-30,Busan,Food,2291976
ORD-000169,2025-03-27,Busan,Food,117710
ORD-000170,2025-02-28,Seoul,Fashion,114673
ORD-000171,2025-04-29,Gwangju,Food,53280
ORD-000172,2025-04-12,Gwangju,Food,947720
ORD-000173,2025-01-13,Busan,Food,254334
ORD-000174,2025-04-02,Daegu,Home,369459
ORD-000175,2025-01-29,Gwangju,Food,1225428
ORD-000176,2025-01-14,Daegu,Electronics,88953
ORD-000177,2025-02-17,Incheon,Beauty,168846
ORD-000178,2025-02-14,Gwangju,Food,570286
ORD-000179,2025-03-23,,Beauty,439080
ORD-000180,2025-02-17,Daegu,Home,1333242
ORD-000181,2025-04-04,,Home,1993453
ORD-000182,2025-02-11,Busan,Food,25830
ORD-000183,2025-02-08,Incheon,Beauty,861960
ORD-000184,2025-04-03,Daegu,Food,1194494
ORD-000185,2025-04-09,Busan,Beauty,68222093
ORD-000186,2025-02-16,Seoul,Fashion,71615
ORD-000187,2025-04-12,Daegu,Home,797058
ORD-000188,2025-03-01,Seoul,Food,1714224
ORD-000189,2025-03-06,Gwangju,Beauty,427560
ORD-000190,2025-02-15,Incheon,Electronics,148352
ORD-000191,2025-04-30,Gwangju,Food,185314
ORD-000192,2025-01-16,Gwangju,Food,771484
ORD-000194,2025-03-03,Gwangju,Beauty,101506
ORD-000195,2025-02-11,Gwangju,Home,234190
ORD-000196,2025-03-25,Daegu,Electronics,560346
ORD-000197,2025-03-31,,Electronics,1312820
ORD-000198,2025-03-07,Gwangju,Home,2058842
ORD-000199,2025-02-10,Seoul,Home,797646
ORD-000200,2025-04-05,Busan,Home,516915
ORD-000201,2025-04-02,Gwangju,Food,994163
ORD-000203,2025-02-09,Incheon,Electronics,1062390
ORD-000205,2025-04-19,Daegu,Food,115983
ORD-000206,2025-03-19,Incheon,Food,39861
ORD-000208,2025-04-17,Daegu,Food,1055782
ORD-000209,2025-03-20,Incheon,Beauty,1018066
ORD-000210,2025-01-30,,Fashion,2340811
ORD-000211,2025-01-25,Seoul,Home,746562
ORD-000212,2025-02-07,Incheon,Beauty,48656
ORD-000213,2025-01-11,Gwangju,Fashion,603306
ORD-000214,2025-02-16,Daegu,Beauty,212120
ORD-000215,2025-03-31,Gwangju,Fashion,1586424
ORD-000216,2025-01-28,Daegu,Food,1842000
ORD-000217,2025-03-19,Daegu,Fashion,314403
ORD-000218,2025-02-11,Incheon,Food,139976
ORD-000219,2025-02-07,Gwangju,Home,1321740
ORD-000220,2025-04-08,Busan,Home,218473
ORD-000221,2025-02-04,Gwangju,Fashion,344810
ORD-000222,2025-02-18,,Electronics,1372272
ORD-000223,2025-04-22,Seoul,Electronics,1102097
ORD-000224,2025-03-18,Daegu,Beauty,1292330
ORD-000225,2025-02-06,Busan,Food,1381936
ORD-000226,2025-04-21,Seoul,Food,157984
ORD-000227,2025-02-18,Seoul,Electronics,1042758
ORD-000228,2025-04-07,,Home,846460
ORD-000229,2025-01-14,Daegu,Home,94724
ORD-000230,2025-02-19,Daegu,Fashion,264956
ORD-000231,2025-03-11,Daegu,Home,237280
ORD-000232,2025-02-28,Daegu,Electronics,250581
ORD-000233,2025-04-06,Gwangju,Home,1668136
ORD-000234,2025-01-30,Seoul,Food,1319030
ORD-000235,2025-02-02,Gwangju,Fashion,249047
ORD-000236,2025-02-16,Seoul,Fashion,1016568
ORD-000237,2025-03-12,Seoul,Fashion,2484440
ORD-000238,2025-01-10,Busan,Beauty,230129
ORD-000239,2025-01-03,Gwangju,Electronics,359632
ORD-000240,2025-04-09,Busan,Beauty,1009415
ORD-000241,2025-04-14,Busan,Home,1713002
ORD-000243,2025-03-24,Seoul,Electronics,636831
ORD-000244,2025-01-17,Gwangju,Electronics,773268
ORD-000245,2025-01-04,Gwangju,Fashion,741100
ORD-000246,2025-01-12,Seoul,Home,501764
ORD-000248,2025-02-07,Daegu,Fashion,143966
ORD-000249,2025-02-06,Seoul,Fashion,603621
ORD-000250,2025-01-20,Busan,Food,1033714
ORD-000251,2025-02-16,,Fashion,579370
ORD-000252,2025-02-15,Gwangju,Beauty,233401
ORD-000253,2025-03-25,Incheon,Beauty,2595024
ORD-000254,2025-03-01,Daegu,Food,1933848
ORD-000255,2025-04-19,Busan,Beauty,152328
ORD-000256,2025-03-26,Gwangju,Electronics,926432
ORD-000257,2025-01-01,Busan,Fashion,1918008
ORD-000258,2025-03-04,Busan,Electronics,529622
ORD-000259,2025-01-01,Seoul,Fashion,1798677
ORD-000260,2025-01-12,Gwangju,Fashion,203124
ORD-000261,2025-01-17,Busan,Food,516710
ORD-000262,2025-03-30,Busan,Beauty,569088
ORD-000263,2025-01-25,Gwangju,Fashion,1066815
ORD-000265,2025-03-06,Daegu,Electronics,-243759
ORD-000266,2025-01-31,Daegu,Beauty,659205
ORD-000267,2025-03-01,Gwangju,Beauty,427232
ORD-000268,2025-02-05,Busan,Electronics,1155910
ORD-000269,2025-03-25,Incheon,Fashion,355908
ORD-000270,2025-03-10,Seoul,Electronics,1004940
ORD-000272,2025-01-09,Daegu,Beauty,240651
ORD-000273,2025-03-17,Incheon,Home,302999
ORD-000274,2025-02-05,Daegu,Fashion,2054059
ORD-000276,2025-01-22,Gwangju,Beauty,1081621
ORD-000277,2025-01-12,Daegu,Home,1156730
ORD-000278,2025-04-21,Seoul,Electronics,1930016
ORD-000279,2025-03-12,Busan,Electronics,232653
ORD-000280,2025-03-21,Busan,Beauty,61372
ORD-000281,2025-04-18,Busan,Home,111710
ORD-000282,2025-03-10,Gwangju,Home,2383120
ORD-000283,2025-02-28,Daegu,Food,2576410
ORD-000284,2025-02-04,Busan,Home,597768
ORD-000285,2025-01-07,Busan,Food,18209
ORD-000286,2025-01-14,Daegu,Electronics,476250
ORD-000287,2025-02-21,Busan,Food,281700
ORD-000288,2025-03-14,Seoul,Beauty,1000565
ORD-000289,2025-04-25,Seoul,Food,807238
ORD-000290,2025-01-26,Gwangju,Electronics,-654206
ORD-000291,2025-04-05,Gwangju,Food,1318482
ORD-000292,2025-02-15,,Beauty,56791
ORD-000293,2025-02-01,Incheon,Fashion,1465384
ORD-000294,2025-02-06,Seoul,Electronics,1363929
ORD-000295,2025-01-09,Seoul,Beauty,276980
ORD-000296,2025-04-06,Incheon,Home,1464470
ORD-000297,2025-03-07,Gwangju,Fashion,252743
ORD-000298,2025-02-02,Seoul,Electronics,1180008
ORD-000299,2025-03-14,Gwangju,Food,435691
ORD-000300,2025-04-29,Gwangju,Beauty,434090
ORD-000302,2025-04-08,Busan,Food,570279
ORD-000303,2025-01-31,Busan,Home,785565
ORD-000304,2025-04-03,Busan,Electronics,801621
ORD-000305,2025-04-28,Daegu,Home,1836017
ORD-000306,2025-01-15,Daegu,Beauty,253926
ORD-000307,2025-04-19,Busan,Home,1041934
ORD-000308,2025-03-09,Incheon,Home,917599
ORD-000309,2025-04-15,Seoul,Electronics,2183400
ORD-000310,2025-02-25,Seoul,Fashion,1927398
ORD-000311,2025-02-22,Incheon,Electronics,1501065
ORD-000312,2025-01-22,Seoul,Electronics,170672
ORD-000313,2025-01-21,Daegu,Home,2026824
ORD-000314,2025-03-08,Incheon,Food,-1274994
ORD-000315,2025-01-25,Busan,Beauty,308689
ORD-000316,2025-02-16,Daegu,Fashion,978856
ORD-000317,2025-01-19,,Electronics,469672
ORD-000318,2025-04-05,Daegu,Home,829733
ORD-000319,2025-02-08,Busan,Fashion,52041
ORD-000320,2025-02-07,Gwangju,Electronics,1727655
ORD-000321,2025-04-02,Busan,Beauty,620676
ORD-000322,2025-03-08,Gwangju,Home,245662
ORD-000323,2025-04-18,Seoul,Fashion,782044
ORD-000324,2025-04-20,Daegu,Fashion,713826
ORD-000325,2025-04-09,,Home,493621
ORD-000327,2025-02-10,Gwangju,Home,1519040
ORD-000328,2025-01-15,Gwangju,Food,1327428
ORD-000329,2025-03-12,Gwangju,Home,1911704
ORD-000330,2025-04-22,Daegu,Home,1725904
ORD-000331,2025-02-10,,Fashion,746340
ORD-000332,2025-01-27,,Beauty,1067841
ORD-000333,2025-03-20,Incheon,Electronics,1810677
ORD-000334,2025-02-18,Incheon,Fashion,1665378
ORD-000335,2025-03-26,Seoul,Food,738291
ORD-000336,2025-03-23,Busan,Electronics,1434132
ORD-000337,2025-02-17,Gwangju,Food,1656610
ORD-000338,2025-02-24,Incheon,Food,1163520
ORD-000339,2025-04-27,Daegu,Beauty,987360
ORD-000340,2025-02-07,Daegu,Beauty,24163
ORD-000341,2025-02-05,Daegu,Beauty,1574933
ORD-000342,2025-03-27,Busan,Beauty,422229
ORD-000343,2025-03-08,Busan,Beauty,267602
ORD-000344,2025-04-13,,Food,1009584
ORD-000345,2025-03-18,Gwangju,Home,1243470
ORD-000346,2025-01-17,Seoul,Home,1741565
ORD-000347,2025-03-22,Incheon,Fashion,92108
ORD-000348,2025-01-09,,Fashion,131728
ORD-000349,2025-01-03,Daegu,Electronics,1042088
ORD-000351,2025-03-24,Gwangju,Food,1557488
ORD-000352,2025-02-22,Incheon,Food,134208
ORD-000353,2025-02-01,Busan,Food,729963
ORD-000355,2025-01-04,Busan,Fashion,1268940
ORD-000356,2025-01-22,Gwangju,Electronics,475524
ORD-000357,2025-03-09,Busan,Fashion,1482856
ORD-000358,2025-04-29,Seoul,Food,212888
ORD-000359,2025-04-13,Seoul,Fashion,42568
ORD-000361,2025-01-23,Incheon,Home,312676
ORD-000362,2025-02-15,Gwangju,Food,2497401
ORD-000363,2025-02-11,,Beauty,2933070
ORD-000364,2025-01-06,Seoul,Home,1796484
ORD-000365,2025-02-02,Incheon,Food,966059
ORD-000366,2025-02-18,Gwangju,Electronics,842329
ORD-000367,2025-03-10,Busan,Fashion,635775
ORD-000368,2025-04-22,Gwangju,Fashion,1461061
ORD-000369,2025-02-05,Gwangju,Beauty,500184
ORD-000370,2025-02-24,Busan,Fashion,843928
ORD-000371,2025-02-04,Daegu,Fashion,84891
ORD-000372,2025-03-04,Gwangju,Home,211143
ORD-000373,2025-03-28,Busan,Food,711144
ORD-000374,2025-02-20,Daegu,Food,1396980
ORD-000375,2025-04-16,Seoul,Beauty,1239642
ORD-000376,2025-02-21,,Home,1147736
ORD-000377,2025-03-06,Incheon,Food,643148
ORD-000378,2025-03-15,Busan,Fashion,956386
ORD-000379,2025-01-15,Gwangju,Electronics,677873
ORD-000380,2025-03-29,Daegu,Beauty,1546205
ORD-000381,2025-03-31,Gwangju,Fashion,995412
ORD-000382,2025-03-08,Daegu,Electronics,31503
ORD-000383,2025-02-08,Incheon,Electronics,234544
ORD-000384,2025-04-24,Incheon,Home,884925
ORD-000385,2025-04-24,Gwangju,Electronics,540358
ORD-000386,2025-03-04,Incheon,Beauty,1660932
ORD-000387,2025-02-26,Incheon,Electronics,203007
ORD-000388,2025-03-14,Gwangju,Food,1110060
ORD-000389,2025-03-29,Daegu,Electronics,891140
ORD-000390,2025-01-29,Daegu,Fashion,523275
ORD-000391,2025-01-11,Daegu,Electronics,448550
ORD-000392,2025-04-07,Busan,Home,69151
ORD-000393,2025-03-19,Incheon,Home,311534
ORD-000394,2025-02-18,Gwangju,Home,295488202
ORD-000395,2025-03-09,Busan,Home,100336
ORD-000396,2025-02-22,Gwangju,Fashion,900982
ORD-000397,2025-02-20,Seoul,Beauty,961462
ORD-000398,2025-03-27,Seoul,Beauty,1647450
ORD-000399,2025-02-17,Seoul,Electronics,118402
ORD-000400,2025-01-29,Gwangju,Fashion,290720
ORD-000401,2025-03-20,Gwangju,Electronics,593888
ORD-000402,2025-04-10,,Home,1314705
ORD-000403,2025-03-26,Daegu,Fashion,342860
ORD-000404,2025-03-24,,Electronics,164292
ORD-000405,2025-04-26,Incheon,Food,431852
ORD-000406,2025-03-29,Busan,Home,250700
ORD-000407,2025-02-19,Seoul,Food,372834
ORD-000408,2025-03-10,Gwangju,Electronics,222105
ORD-000409,2025-01-05,Busan,Electronics,499822
ORD-000410,2025-01-12,Seoul,Food,170076
ORD-000411,2025-01-13,Busan,Home,1453748
ORD-000412,2025-04-24,Gwangju,Electronics,111804
ORD-000413,2025-02-28,Daegu,Beauty,696852
ORD-000414,2025-04-09,Seoul,Electronics,277240
ORD-000415,2025-01-24,Busan,Beauty,188928
ORD-000416,2025-03-10,Daegu,Fashion,275519
ORD-000417,2025-01-18,Gwangju,Beauty,714917
ORD-000418,2025-03-17,Busan,Fashion,956393
ORD-000419,2025-01-11,Busan,Beauty,2534211
ORD-000420,2025-03-03,Gwangju,Food,105507
ORD-000421,2025-01-24,Seoul,Beauty,345849
ORD-000422,2025-04-28,Incheon,Electronics,439568
ORD-000423,2025-03-06,Daegu,Food,77448
ORD-000424,2025-02-13,Gwangju,Home,18825
ORD-000425,2025-04-01,Daegu,Food,422824
ORD-000426,2025-03-08,Daegu,Electronics,1405548
ORD-000427,2025-02-22,Incheon,Electronics,136850
ORD-000428,2025-03-21,Daegu,Home,201042
ORD-000429,2025-02-05,Busan,Fashion,276961
ORD-000430,2025-02-28,Incheon,Food,1633050
ORD-000431,2025-03-09,Daegu,Fashion,744912
ORD-000432,2025-02-26,Busan,Electronics,842889
ORD-000433,2025-03-16,Daegu,Home,184300
ORD-000434,2025-04-01,Daegu,Fashion,758215
ORD-000435,2025-03-29,Gwangju,Beauty,555058
ORD-000438,2025-01-21,Busan,Fashion,2113155
ORD-000439,2025-03-25,Seoul,Fashion,280131
ORD-000440,2025-04-22,Gwangju,Electronics,220020
ORD-000441,2025-04-04,Incheon,Electronics,436804
ORD-000443,2025-01-16,Daegu,Fashion,863056
ORD-000444,2025-03-14,Gwangju,Home,1668054
ORD-000445,2025-01-21,Incheon,Food,525591
ORD-000446,2025-04-03,Seoul,Fashion,358656
ORD-000447,2025-04-22,Gwangju,Beauty,433340
ORD-000448,2025-04-02,Busan,Beauty,723258
ORD-000449,2025-04-29,Seoul,Beauty,578589
ORD-000450,2025-01-30,Gwangju,Beauty,103578
ORD-000451,2025-01-17,Gwangju,Beauty,217512
ORD-000452,2025-04-18,,Home,587255
ORD-000453,2025-02-07,Gwangju,Home,667961
ORD-000454,2025-01-12,Incheon,Fashion,737732
ORD-000455,2025-03-29,Incheon,Home,1880976
ORD-000456,2025-02-06,Gwangju,Home,267442
ORD-000457,2025-02-07,Busan,Fashion,83888
ORD-000458,2025-01-20,Daegu,Fashion,556680
ORD-000459,2025-04-11,Busan,Food,202340
ORD-000460,2025-02-23,Busan,Fashion,71766
ORD-000461,2025-03-25,Seoul,Electronics,1888758
ORD-000462,2025-04-05,Gwangju,Home,189328
ORD-000463,2025-04-25,Gwangju,Food,83097
ORD-000464,2025-02-10,Daegu,Fashion,412514
ORD-000466,2025-03-03,Incheon,Home,2068524
ORD-000467,2025-02-26,Incheon,Food,-681426
ORD-000468,2025-03-15,Busan,Beauty,612918
ORD-000470,2025-03-28,Busan,Beauty,422001
ORD-000471,2025-02-24,Daegu,Electronics,152806
ORD-000472,2025-03-12,Incheon,Food,1306921
ORD-000473,2025-03-30,Seoul,Home,1777494
ORD-000474,2025-02-10,Incheon,Fashion,1912100
ORD-000475,2025-02-15,Incheon,Food,1604052
ORD-000476,2025-02-04,Daegu,Electronics,271986
ORD-000477,2025-01-23,Daegu,Food,1031958
ORD-000478,2025-02-26,Incheon,Home,230424
ORD-000479,2025-01-29,,Home,582507
ORD-000480,2025-02-02,Incheon,Fashion,464932
ORD-000481,2025-01-19,Seoul,Food,1657278
ORD-000482,2025-03-06,Busan,Beauty,242944
ORD-000483,2025-01-22,Gwangju,Beauty,52886194
ORD-000484,2025-02-21,Incheon,Fashion,2243682
ORD-000485,2025-03-22,Seoul,Fashion,410170
ORD-000486,2025-01-11,Seoul,Beauty,145011
ORD-000487,2025-04-24,Seoul,Home,369231
ORD-000488,2025-04-20,Gwangju,Fashion,9242
ORD-000489,2025-03-27,Gwangju,Food,465696
ORD-000490,2025-03-01,Seoul,Beauty,869085
ORD-000491,2025-01-09,Gwangju,Beauty,1310192
ORD-000492,2025-03-30,Seoul,Home,373133
ORD-000493,2025-05-01,Gwangju,Beauty,880000
ORD-000494,2025-01-06,Incheon,Food,741108
ORD-000495,2025-02-24,Daegu,Food,1161272
ORD-000496,2025-04-03,Incheon,Fashion,275320
ORD-000497,2025-02-23,Incheon,Fashion,653614
ORD-000498,2025-01-18,,Home,82590
ORD-000499,2025-01-28,Daegu,Home,259749
ORD-000500,2025-02-20,Busan,Home,1128643
ORD-000501,2025-04-09,Gwangju,Electronics,514639
ORD-000502,2025-03-18,Gwangju,Electronics,1186120
ORD-000503,2025-01-23,Seoul,Beauty,540642
ORD-000504,2025-01-31,,Electronics,1455732
ORD-000505,2025-04-28,Seoul,Food,732486
ORD-000506,2025-04-02,Busan,Electronics,2162959
ORD-000507,2025-01-19,,Food,186700
ORD-000508,2025-01-17,Daegu,Food,103046
ORD-000509,2025-01-06,Incheon,Home,978090
ORD-000510,2025-04-07,Seoul,Food,-837094
ORD-000511,2025-04-30,Daegu,Electronics,1126071
ORD-000512,2025-04-08,Daegu,Home,1517599
ORD-000513,2025-03-31,Incheon,Fashion,1070095
ORD-000514,2025-03-30,Seoul,Electronics,1205552
ORD-000515,2025-04-25,Incheon,Food,805833
ORD-000516,2025-03-04,Busan,Home,333304
ORD-000517,2025-03-20,Busan,Fashion,793942
ORD-000518,2025-03-23,Seoul,Home,876400
ORD-000519,2025-01-25,Seoul,Home,2691711
ORD-000520,2025-04-21,Seoul,Beauty,204537
ORD-000521,2025-01-28,Gwangju,Home,958377
ORD-000522,2025-01-05,Busan,Home,2348739
ORD-000523,2025-03-06,Seoul,Food,41342
ORD-000524,2025-01-04,Busan,Electronics,461512
ORD-000526,2025-03-09,Seoul,Electronics,261202
ORD-000527,2025-04-20,Daegu,Beauty,58054
ORD-000528,2025-02-09,Seoul,Beauty,558056
ORD-000529,2025-04-05,Busan,Food,683906
ORD-000530,2025-01-05,Gwangju,Home,509198
ORD-000531,2025-02-07,Seoul,Electronics,172287
ORD-000532,2025-04-18,Seoul,Food,201310
ORD-000533,2025-01-05,Busan,Fashion,1559012
ORD-000534,2025-03-06,Gwangju,Home,1833348
ORD-000535,2025-03-22,Gwangju,Fashion,983853
ORD-000536,2025-01-21,Seoul,Fashion,2072315
ORD-000537,2025-03-09,Seoul,Fashion,987356
ORD-000539,2025-01-03,Gwangju,Home,2189106
ORD-000540,2025-04-10,Seoul,Fashion,1176392
ORD-000541,2025-02-01,Incheon,Electronics,596226
ORD-000542,2025-02-26,Gwangju,Home,151281
ORD-000543,2025-03-03,Incheon,Food,1055455
ORD-000544,2025-03-23,Incheon,Food,300666
ORD-000545,2025-01-08,Incheon,Electronics,377310
ORD-000546,2025-03-10,Busan,Home,462664
ORD-000548,2025-04-29,Seoul,Fashion,248270
ORD-000549,2025-03-14,Busan,Home,1264608
ORD-000550,2025-04-24,Gwangju,Beauty,1485657
ORD-000551,2025-04-29,Daegu,Fashion,186284
ORD-000552,2025-01-04,Busan,Fashion,793129
ORD-000553,2025-05-01,Seoul,Electronics,921460
ORD-000554,2025-04-08,Busan,Food,54340
ORD-000555,2025-01-27,Gwangju,Electronics,438305
ORD-000556,2025-02-21,Gwangju,Food,2501712
ORD-000557,2025-03-15,Daegu,Home,304592
ORD-000558,2025-03-23,Gwangju,Home,346906
ORD-000559,2025-04-12,Daegu,Electronics,152010
